名称,名称かな,所在地,設置位置,経度,緯度
浮穴小学校,うけなしょうがっこう,愛媛県松山市森松町832,保健室×1、体育館×1、職員室×1,132.7969847,33.79246729
浮穴第1児童クラブ,うけなだいいちじどうくらぶ,愛媛県松山市森松町850,児童クラブ内×1,132.7967039,33.79379559
浮穴第2児童クラブ,うけなだいにじどうくらぶ,愛媛県松山市森松町832,児童クラブ内×1,132.7988895,33.79228093
浮穴保育園,うけなほいくえん,愛媛県松山市南高井町1608-2,玄関ロビー×1,132.799406,33.7923487
内宮団地,うちみやだんち,愛媛県松山市内宮町2041-1、堀江町甲81,団地集会所×1,132.7469129,33.89641512
内宮中学校,うちみやちゅうがっこう,愛媛県松山市内宮町569-1,職員室×1、体育館×1、保健室×1,132.7491724,33.89343803
内宮ふれあいセンター,うちみやふれあいせんたー,愛媛県松山市内宮町675,玄関ロビー×1,132.7498744,33.89511179
馬木団地,うまきだんち,愛媛県松山市馬木町287,団地集会所×1,132.7442179,33.89057616
宇和間農林漁業体験実習館（分館）,うわまのうりんぎょぎょうたいけんじっしゅうかん（ぶんかん）,愛媛県松山市宇和間甲920-1,分館内×1,132.5863646,33.96890282
荏原公民館,えばらこうみんかん,愛媛県松山市東方町甲955,玄関×1、支所倉庫×1,132.8154005,33.76821566
荏原小学校,えばらしょうがっこう,愛媛県松山市東方町甲1245,職員室×1、体育館×1、保健室×1,132.8179298,33.76833321
荏原第1児童クラブ,えばらだいいちじどうくらぶ,愛媛県松山市東方町甲1493-1,児童クラブ内×1,132.8167332,33.76862524
荏原第2児童クラブ,えばらだいにじどうくらぶ,愛媛県松山市東方町甲1245,児童クラブ内×1,132.8186468,33.76896266
荏原幼稚園,えばらようちえん,愛媛県松山市東方町甲1493-3,職員室×1、2階会議室×1,132.8168194,33.76901159
愛媛県立中央病院院内保育所,えひめけんりつちゅうおうびょういんいんないほいくしょ,愛媛県松山市春日町83 医師公舎1階,職員室×1,132.7661628,33.83147878
愛媛大学城北保育所,えひめだいがくじょうほくほいくしょ,愛媛県松山市文京町3 愛媛大学教育学部4号館1階,愛媛大学城北保育所内ホール×1,132.7721487,33.85064524
えひめ乳児保育園,えひめにゅうじほいくえん,愛媛県松山市清水町4丁目23,事務室×1,132.7643921,33.85383683
愛媛保育園,えひめほいくえん,愛媛県松山市若草町8-2,事務室×1,132.7614166,33.84713964
恵良団地,えりょうだんち,愛媛県松山市北条238,団地集会所×1,132.7821733,33.97910994
エルパティオ保育園,えるぱてぃおほいくえん,愛媛県松山市北土居3丁目2-25,職員室×1,132.7843032,33.80211085
Angel Kids インターナショナル・プリスクール,えんじぇるきっずいんたーなしょなる・ぷりすくーる,愛媛県松山市東石井3丁目2-11,保育室×1,132.7815895,33.81426871
大野団地,おおのだんち,愛媛県松山市北梅本町672,1棟ピロティー壁×1,132.8363864,33.80516124
大峰団地,おおみねだんち,愛媛県松山市南江戸6丁目8-14 外,1棟階段横壁×1,132.740259,33.84034669
小栗寮,おぐりりょう,愛媛県松山市小栗7丁目1-32,小栗寮事務所内×1,132.7546404,33.82580293
小野公民館,おのこうみんかん,愛媛県松山市北梅本町759,玄関×1,132.8379917,33.80623601
小野小学校,おのしょうがっこう,愛媛県松山市平井町3673,職員室×1、体育館×1、校舎通路×1、保健室×1,132.8379943,33.80752538
小野第1児童クラブ,おのだいいちじどうくらぶ,愛媛県松山市平井町3673,児童クラブ内×1,132.8384631,33.80800688
小野中学校,おのちゅうがっこう,愛媛県松山市平井町3690,保健室前廊下×1、体育館外×1、柔剣道場入口×1、管理特別教室棟×1,132.8369864,33.80704366
かしの木園,かしのきえん,愛媛県松山市朝美1丁目11-14,玄関ロビー×1,132.7465833,33.84496914
鹿島観光情報センター,かしまかんこうじょうほうせんたー,愛媛県松山市北条辻1596-3,船長室×1,132.7664825,33.97409169
学校法人勝愛学園 幼保連携型認定こども園,がっこうほうじんしょうあいがくえんようほれんけいがたにんていこどもえん,愛媛県松山市土居田町841,職員室×1,132.7388843,33.82186308
学校法人大護学園 大護さとやま認定こども園,がっこうほうじんだいごがくえんだいごさとやまにんていこどもえん,愛媛県松山市畑寺町乙32-2,保育棟事務室×1,132.8059558,33.82544248
勝山中学校,かつやまちゅうがっこう,愛媛県松山市清水町3丁目148-2,職員室×1、体育館×1、保健室×1、教室×1,132.7651424,33.85166465
鹿峰団地,かのみねだんち,愛媛県松山市久保445-2 外,団地集会所×1,132.7665992,33.94126897
鎌田団地,かまただんち,愛媛県松山市余戸南4丁目12-14 外,団地集会所×1,132.7289672,33.81039835
上川原団地,かみがわらだんち,愛媛県松山市上川原町1154-1 外,上川原ふれあいセンター×1,132.8111428,33.77869848
鴨川中学校,かもがわちゅうがっこう,愛媛県松山市鴨川2丁目7-19,職員室×1、体育館×1、保健室×1,132.7499589,33.87281489
来住ふれあいセンター,きしふれあいせんたー,愛媛県松山市来住町1377-4,玄関ロビー×1,132.7961796,33.80880054
北久米小学校,きたくめしょうがっこう,愛媛県松山市福音寺町9,南校舎3階廊下×1、体育館×1、職員室×1,132.797699,33.82052609
北中学校,きたちゅうがっこう,愛媛県松山市太山寺町491-1,職員室×1、体育館×1、保健室×1,132.7343303,33.88290798
キッズパオあおぞら園,きっずぱおあおぞらえん,愛媛県松山市萱町2丁目4-5 アメニエス萱町1F,事務室×1,132.7571673,33.84383902
キッズパオ道後あおぞら園,きっずぱおどうごあおぞらえん,愛媛県松山市南町2丁目8-17,玄関×1,132.7787404,33.8472366
救急ワークステーション,きゅうきゅうわーくすてーしょん,愛媛県松山市末広町8,1階事務所×1,132.7637093,33.83214807
救護施設 みさか荘,きゅうごしせつみさかそう,愛媛県松山市恵原町甲1000,B棟1階介護員室×1,132.8138301,33.76775202
教育研修センター,きょういくけんしゅうせんたー,愛媛県松山市文京町2-1,玄関付近×1,132.7738196,33.84953915
共同利用施設 南吉田センター,きょうどうりようしせつみなみよしだせんたー,愛媛県松山市南吉田町1330-1,玄関×1,132.7091124,33.82654515
空港東第四公園テニスコート,くうこうひがしだいよんこうえんてにすこーと,愛媛県松山市東垣生町866-1,事務室×1,132.7146833,33.81798412
久谷中学校,くたにちゅうがっこう,愛媛県松山市浄瑠璃町940,体育館×1、職員室×1、教室棟2階×1,132.818897,33.75917491
国津保育園,くにつほいくえん,愛媛県松山市八反地甲1647,事務室×1,132.7903925,33.97062067
窪田児童クラブ,くぼたじどうくらぶ,愛媛県松山市久米窪田町307,児童クラブ内×1,132.8158353,33.80143663
窪田小学校,くぼたしょうがっこう,愛媛県松山市久米窪田町307,保健室×1、体育館×1、運動場×1、職員室×1,132.8154429,33.8015528
熊田地域総合施設（分館）,くまたちいきそうごうしせつ（ぶんかん）,愛媛県松山市熊田甲713-3,分館内×1,132.5905335,33.97158049
久米公民館,くめこうみんかん,愛媛県松山市鷹子町823,玄関×1,132.8059446,33.81373984
