名称,名称かな,所在地,設置位置,経度,緯度
椿第3児童クラブ,つばきだいさんじどうくらぶ,愛媛県松山市和泉南6丁目1-47,児童クラブ内×1,132.7591534,33.81057517
椿第2児童クラブ,つばきだいにじどうくらぶ,愛媛県松山市和泉南6丁目1-47,児童クラブ内×1,132.7598116,33.81130611
椿中学校,つばきちゅうがっこう,愛媛県松山市市坪南1丁目1-20,職員室×1、体育館×1、体育館外×1,132.7547524,33.80818352
椿野団地,つばきのだんち,愛媛県松山市西石井4丁目11-16,団地集会所×1,132.7685488,33.81547796
つばき保育園,つばきほいくえん,愛媛県松山市古川北2丁目18-30,事務室×1,132.7628429,33.81309747
釣島分校（休校）,つるしまぶんこう（きゅうこう）,愛媛県松山市泊町1465,玄関×1,132.6376202,33.8946706
道後温泉椿の湯,どうごおんせんつばきのゆ,愛媛県松山市道後湯之町19-22,1階男子更衣室入口左側×1,132.7850098,33.85243142
道後温泉別館 飛鳥乃湯泉,どうごおんせんべっかんあすかのゆ,愛媛県松山市道後湯之町19-22,1Fエレベータ前北角×1,132.7846645,33.85230256
道後温泉本館,どうごおんせんほんかん,愛媛県松山市道後湯之町5-6,北側玄関浴客出入口東側×1,132.7864137,33.85207127
道後公民館,どうごこうみんかん,愛媛県松山市道後町1丁目5-31,玄関×1,132.7845535,33.84916276
道後小学校,どうごしょうがっこう,愛媛県松山市石手4丁目10-5,体育館×1、運動場×1、保健室×1,132.7921645,33.84503396
道後第1児童クラブ,どうごだいいちじどうくらぶ,愛媛県松山市石手4丁目10-5,児童クラブ内×1,132.7922067,33.84565404
道後中学校,どうごちゅうがっこう,愛媛県松山市上市1丁目3-57,職員室×2、体育館×1,132.7897963,33.84543176
道後保育園,どうごほいくえん,愛媛県松山市道後姫塚123-1,事務室×1,132.7892172,33.84966717
特別養護老人ホーム 久谷荘,とくべつようごろうじんほーむくたにそう,愛媛県松山市恵原町甲940,A棟1階西介護員室×1、A棟2階エレベーター前×1,132.8146113,33.76910353
泊公民館,とまりこうみんかん,愛媛県松山市泊町818,事務室×1,132.6798182,33.8835802
富久団地,とみひさだんち,愛媛県松山市富久町515,団地集会所×1,132.7249373,33.82349017
富久保育園,とみひさほいくえん,愛媛県松山市富久町32-3,保育室×1,132.7333598,33.82286099
中島港港湾ビル（船舶･バス待合所）,なかじまこうこうわんびる（せんぱくばすまちあいしょ）,愛媛県松山市中島大浦4764,中島汽船の事務所内×1,132.6301243,33.97298616
中島公民館,なかじまこうみんかん,愛媛県松山市中島大浦2962,事務室×1,132.6254801,33.97485218
中島公民館 饒分館,なかじまこうみんかんにょうぶんかん,愛媛県松山市饒423,分館内×1,132.6069278,33.98696815
中島こども園,なかじまこどもえん,愛媛県松山市中島大浦3040-1,事務室×1,132.6286699,33.97372614
中島支所,なかじまししょ,愛媛県松山市中島大浦1626,1階ロビー×1,132.6295451,33.97525931
中島小学校,なかじましょうがっこう,愛媛県松山市長師564,玄関×1、体育館×1,132.6260346,33.96261694
中島神和分団 上怒和ポンプ蔵置所,なかじまじんわぶんだんかみぬわぽんぷぞうちしょ,愛媛県松山市上怒和甲653-1,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.5562693,33.98024127
中島神和分団 津和地ポンプ蔵置所,なかじまじんわぶんだんつわじぽんぷぞうちしょ,愛媛県松山市津和地601-2,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.515482,33.98307434
中島神和分団 二神ポンプ蔵置所,なかじまじんわぶんだんふたがみぽんぷぞうちしょ,愛媛県松山市二神甲459-16,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.5398433,33.93336763
中島神和分団 元怒和集落総合施設,なかじまじんわぶんだんもとぬわしゅうらくそうごうしせつ,愛媛県松山市元怒和1809-28,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.5406642,33.97564183
中島中学校,なかじまちゅうがっこう,愛媛県松山市長師817,多目的ホール×1、体育館×1,132.6252881,33.96401108
中島西分団 粟井ポンプ蔵置所,なかじまにしぶんだんあわいぽんぷぞうちしょ,愛媛県松山市中島粟井甲782-2,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6387714,33.99290608
中島西分団 畑里ポンプ蔵置所,なかじまにしぶんだんはたりぽんぷぞうちしょ,愛媛県松山市畑里乙358-2,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6211966,33.9915589
中島西分団 吉木ポンプ蔵置所,なかじまにしぶんだんよしきぽんぷぞうちしょ,愛媛県松山市吉木甲618-2,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6035333,33.9791061
中島東分団 大浦・小浜ポンプ蔵置所,なかじまひがしぶんだんおおうらおばまぽんぷぞうちしょ,愛媛県松山市中島大浦4764,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6299615,33.97271798
中島東分団 神浦ポンプ蔵置所,なかじまひがしぶんだんこうのうらぽんぷぞうちしょ,愛媛県松山市神浦736-6,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6062785,33.95166029
中島東分団 長師ポンプ蔵置所,なかじまひがしぶんだんながしぽんぷぞうちしょ,愛媛県松山市長師1466-56,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6240908,33.95714291
中島東分団 宮野ポンプ蔵置所,なかじまひがしぶんだんみやのぽんぷぞうちしょ,愛媛県松山市宮野1-1,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6170378,33.95784412
中島ふれあいセンター,なかじまふれあいせんたー,愛媛県松山市小浜甲1191,玄関×1,132.6277417,33.96590549
中島睦野分団 野忽那ポンプ蔵置所,なかじまむつのぶんだんのぐつなぽんぷぞうちしょ,愛媛県松山市野忽那甲1442-6,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6899526,33.97526676
中島睦野分団 睦月ポンプ蔵置所,なかじまむつのぶんだんむづきぽんぷぞうちしょ,愛媛県松山市睦月甲2194-23,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6652337,33.95688893
中須賀保育園,なかすがほいくえん,愛媛県松山市中須賀1丁目12-17,事務室×1,132.7246366,33.86482836
中之川地下駐車場,なかのかわちかちゅうしゃじょう,愛媛県松山市湊町3丁目地先,管理事務所×1,132.7695318,33.83499814
なのはな保育園,なのはなほいくえん,愛媛県松山市和泉南6丁目4-33,事務所×1,132.7590168,33.81156883
難波公民館,なんばこうみんかん,愛媛県松山市中通甲777-1,玄関ロビー×1,132.7922268,33.98329502
難波小学校,なんばしょうがっこう,愛媛県松山市中通甲807-1,職員室前廊下×1、体育館×1、保健室×1,132.7942307,33.98302928
南部児童センター,なんぶじどうせんたー,愛媛県松山市古川北3丁目8-20,2階事務室内×1,132.764759,33.81107486
西消防署,にししょうぼうしょ,愛媛県松山市三津3丁目4-23,1階受付×1,132.7130859,33.8612461
西消防署 西部支署,にししょうぼうしょせいぶししょ,愛媛県松山市富久町277,1階受付×1,132.7279774,33.82009651
西中学校,にしちゅうがっこう,愛媛県松山市高岡町409,保健室×1、柔剣道場×1、職員室×1,132.7173305,33.82617279
ニチイキッズひめやま保育園,にちいきっずひめやまほいくえん,愛媛県松山市山越1丁目7-55,事務所×1,132.7589407,33.85791213
認可外保育施設あいみー,にんかがいほいくしせつあいみー,愛媛県松山市千舟町4丁目2-2 ITOビル7階、4階,職員室×1,132.7663185,33.8365681
認定こども園 愛光保育園,にんていこどもえんあいこうほいくえん,愛媛県松山市愛光町9-8,事務室×1,132.7487023,33.84680168
認定こども園 アイドル園,にんていこどもえんあいどるえん,愛媛県松山市雄郡2丁目6-17,玄関×1,132.7525692,33.82919545
認定こども園 コイノニア保育園,にんていこどもえんこいのにあほいくえん,愛媛県松山市久万ノ台173,2階保育室×1,132.7467975,33.85800222
認定こども園 こどものくに保育園,にんていこどもえんこどものくにほいくえん,愛媛県松山市南斎院町乙41-3,事務室×1,132.733655,33.84465411
認定こども園 小羊園,にんていこどもえんこひつじえん,愛媛県松山市小坂3丁目6-13,本園玄関×1,132.7829174,33.8308143
認定こども園 コモドまつすえ園,にんていこどもえんこもどまつすええん,愛媛県松山市松末1丁目2-11,玄関靴箱横×1,132.7904903,33.82569369
認定こども園 ジャックと豆の木園,にんていこどもえんじゃっくとまめのきえん,愛媛県松山市枝松6丁目7-16,枝松園玄関ロビー×1,132.7853552,33.82566753
認定こども園 ジャックと豆の木園 余戸園,にんていこどもえんじゃっくとまめのきえんようごえん,愛媛県松山市余戸南2丁目24-38,玄関×1,132.7348273,33.81074953
認定こども園 城北愛児園,にんていこどもえんじょうほくあいじえん,愛媛県松山市安城寺町1744-6,玄関ロビー×1,132.7383558,33.88718112
認定こども園 つくし,にんていこどもえんつくし,愛媛県松山市堀江町甲108-15,1階南側玄関×1,132.7460732,33.89496923
認定こども園 はなみずき保育園,にんていこどもえんはなみずきほいくえん,愛媛県松山市古川西1丁目16-1,事務室×1,132.7589133,33.81062148
認定こども園 福角保育園,にんていこどもえんふくずみほいくえん,愛媛県松山市福角町甲1258-2,職員室×1,132.760308,33.90096153
認定こども園 北条幼稚園,にんていこどもえんほうじょうようちえん,愛媛県松山市北条1122,1・2歳児保育室×1,132.7736819,33.97929048
認定こども園 松山隣保館保育園,にんていこどもえんまつやまりんぽかんほいくえん,愛媛県松山市味酒町2丁目14-3,事務室×1,132.7554215,33.84462445
認定こども園 ゆうゆう,にんていこどもえんゆうゆう,愛媛県松山市朝生田町6丁目2-27,1歳児保育室×1,132.7667332,33.82099605
怒和小学校,ぬわしょうがっこう,愛媛県松山市元怒和甲8-2,体育館外×1,132.548769,33.97364888
農業指導センター,のうぎょうしどうせんたー,愛媛県松山市北梅本町甲1314,事務室×1,132.8577037,33.81433804
のぞみ保育園,のぞみほいくえん,愛媛県松山市土居田町569,職員室×1,132.7442008,33.82244792
葉佐池古墳公園ガイダンス棟,はざいけこふんこうえんがいだんすとう,愛媛県松山市北梅本町甲2455,事務室×1,132.8471716,33.81429896
垣生公民館,はぶこうみんかん,愛媛県松山市西垣生町1228,玄関ロビー×1,132.7028911,33.81422913
垣生小学校,はぶしょうがっこう,愛媛県松山市西垣生町730-1,職員室×1、東体育館×1、西体育館×1、保健室前×1,132.7050857,33.81396184
垣生第2児童クラブ,はぶだいにじどうくらぶ,愛媛県松山市西垣生町730-1,児童クラブ内×1,132.7042663,33.81354656
垣生第4児童クラブ,はぶだいよんじどうくらぶ,愛媛県松山市西垣生町730-1,児童クラブ内×1,132.7044248,33.8135406
垣生中学校,はぶちゅうがっこう,愛媛県松山市西垣生町418,職員室×1、体育館×1、保健室×1,132.7055037,33.80977797
垣生保育園,はぶほいくえん,愛媛県松山市西垣生町742-1,事務室×1,132.704729,33.81318844
番町公民館（建替工事中のため番町小学校に移設）,ばんちょうこうみんかん（たてかえこうじちゅうのためばんちょうしょうがっこうにいせつ）,愛媛県松山市二番町4丁目6-1,番町小学校北校舎2階事務室×1,132.7666858,33.83984532
番町児童クラブ,ばんちょうじどうくらぶ,愛媛県松山市二番町4丁目6-1,児童クラブ内×1,132.7660526,33.8388667
番町小学校,ばんちょうしょうがっこう,愛媛県松山市二番町4丁目6-1,保健室×1、体育館×1、職員室×1,132.7666858,33.83984532
日浦公民館,ひうらこうみんかん,愛媛県松山市河中町甲646,玄関ロビー×1,132.8682447,33.90022576
日浦公民館 大井野分館,ひうらこうみんかんおおいのぶんかん,愛媛県松山市大井野町甲224-1,玄関×1,132.8852674,33.91721618
日浦公民館 川の郷分館,ひうらこうみんかんかわのごうぶんかん,愛媛県松山市川の郷町甲426-1,玄関×1,132.8669618,33.88233336
日浦公民館 藤野分館,ひうらこうみんかんふじのぶんかん,愛媛県松山市藤野町甲225-1,玄関×1,132.8599362,33.89684002
日浦小学校,ひうらしょうがっこう,愛媛県松山市河中町甲79-2,玄関（校舎内）×1、体育館×1、職員室×1,132.8715597,33.90033048
日浦中学校,ひうらちゅうがっこう,愛媛県松山市河中町188-1,玄関×1、体育館×1、職員室×1,132.8709716,33.90134164
東消防署,ひがししょうぼうしょ,愛媛県松山市道後湯之町18-4,1階受付×1,132.7841494,33.85231965
東消防署 城東支署,ひがししょうぼうしょじょうとうししょ,愛媛県松山市河原町7-19,3階事務所×1,132.7708029,33.83521645
東中学校,ひがしちゅうがっこう,愛媛県松山市文京町2-2,職員室×1、体育館×1、保健室×1,132.7736844,33.84998184
東垣生健康増進センター,ひがしはぶけんこうぞうしんせんたー,愛媛県松山市東垣生町636-1,事務所内×1,132.7150542,33.81448974
東松山こども園,ひがしまつやまこどもえん,愛媛県松山市久米窪田町394-1,職員室×1,132.8117542,33.80330202
久枝公民館,ひさえだこうみんかん,愛媛県松山市西長戸町299,玄関×1,132.7422198,33.86861546
久枝児童館,ひさえだじどうかん,愛媛県松山市西長戸町638-1,2階事務室内×1,132.737499,33.86912473
久枝小学校,ひさえだしょうがっこう,愛媛県松山市安城寺町586-1,職員室×1、体育館×1、運動場×1、保健室×1,132.7409926,33.87107333
久枝第1児童クラブ,ひさえだだいいちじどうくらぶ,愛媛県松山市安城寺町586-1,児童クラブ内×1,132.7401968,33.87168828
久枝第3児童クラブ,ひさえだだいさんじどうくらぶ,愛媛県松山市安城寺町586-1,児童クラブ内×1,132.7405088,33.87117015
久枝第2児童クラブ,ひさえだだいにじどうくらぶ,愛媛県松山市安城寺町586-1,児童クラブ内×1,132.7409331,33.87167984
久枝なかよしふれあいセンター,ひさえだなかよしふれあいせんたー,愛媛県松山市西長戸町638-1,1階玄関×1,132.7376262,33.86925513
ひだまり保育園,ひだまりほいくえん,愛媛県松山市三番町1丁目13-1 ライブタウン三番町1階,事務室×1,132.7748546,33.83834865
ひめっこ保育園,ひめっこほいくえん,愛媛県松山市春日町12-5,玄関内受付×1,132.7644612,33.83366639
姫山児童クラブ,ひめやまじどうくらぶ,愛媛県松山市姫原1丁目3-13,児童クラブ内×1,132.7639141,33.86509506
姫山小学校,ひめやましょうがっこう,愛媛県松山市山越3丁目800,保健室×1、体育館×1、職員玄関×1、職員室×1,132.7634452,33.86384127
姫山第2児童クラブ,ひめやまだいにじどうくらぶ,愛媛県松山市山越3丁目800,児童クラブ内×1,132.7638001,33.86341513
ひよこ保育園,ひよこほいくえん,愛媛県松山市南斎院町686-2,事務室×1,132.7311996,33.83049352
平井保育園,ひらいほいくえん,愛媛県松山市平井町甲118,事務室×1,132.8362007,33.80971162
福音小学校,ふくおんしょうがっこう,愛媛県松山市福音寺町355-1,職員室×1、体育館×1、保健室×1,132.7903819,33.82182932
福音第1児童クラブ,ふくおんだいいちじどうくらぶ,愛媛県松山市福音寺町355-1,児童クラブ内×1,132.7906054,33.820929
双葉小学校,ふたばしょうがっこう,愛媛県松山市土居田町123-3,職員室×1、体育館×1、保健室×1,132.7528057,33.82364602
古川ふれあいセンター,ふるかわふれあいせんたー,愛媛県松山市古川南1丁目20-18,玄関×1,132.7620258,33.80855821
古三津団地,ふるみつだんち,愛媛県松山市古三津3丁目26-1 外,団地集会所×1,132.7324655,33.85996983
別府市民運動広場,べふしみんうんどうひろば,愛媛県松山市別府町621-3,倉庫内×1,132.7164716,33.84703026
保育園 フォーキッズミネルワ（休園中）,ほいくえんふぉーきっずみねるわ（きゅうえんちゅう）,愛媛県松山市東垣生町903-1,保育園内×1,132.7186555,33.81771717
保育所 ちびっこランド いしい園,ほいくしょちびっこらんどいしいえん,愛媛県松山市西石井1丁目1-25,園長室×1,132.7741174,33.81636145
保育所 ちびっこランド つばき園,ほいくしょちびっこらんどつばきえん,愛媛県松山市居相1丁目1-10,玄関ロビー×1,132.7751569,33.80939062
保育所 ちびっこランド どいだ園,ほいくしょちびっこらんどどいだえん,愛媛県松山市土居田町848-7,保育室（エアコン調整横）×1,132.7385959,33.8205491
保育所 ぶどうの樹,ほいくしょぶどうのき,愛媛県松山市福音寺町27-5,玄関ロビー×1,132.7944604,33.81936272
北条愛児園,ほうじょうあいじえん,愛媛県松山市土手内14-1,職員室×1,132.7735402,33.97228895
北条北中学校,ほうじょうきたちゅうがっこう,愛媛県松山市北条辻365,生徒玄関×1、体育館×1、保健室×1,132.7810033,33.97066725
北条公民館,ほうじょうこうみんかん,愛媛県松山市北条辻6,南玄関×1,132.7777492,33.97667056
北条児童センター,ほうじょうじどうせんたー,愛媛県松山市河野別府937,玄関下駄箱上×1,132.7821074,33.95816791
北条小学校,ほうじょうしょうがっこう,愛媛県松山市北条辻64,職員室×1、体育館×1、高学年部室×1,132.7792283,33.97487712
北条スポーツセンター（体育館）,ほうじょうすぽーつせんたー（たいいくかん）,愛媛県松山市大浦86-1,事務室×1,132.7733415,33.99649823
北条スポーツセンター（野球場）,ほうじょうすぽーつせんたー（やきゅうじょう）,愛媛県松山市下難波乙169-2,北側倉庫×2,132.7822829,33.99635988
北条スポーツセンター（レストハウス）,ほうじょうすぽーつせんたー（れすとはうす）,愛媛県松山市大浦86-1,1階事務室前×1,132.7737583,33.99601404
北条体育館,ほうじょうたいいくかん,愛媛県松山市北条辻1170-6,事務室×1,132.7721683,33.96155102
北条第2児童クラブ,ほうじょうだいにじどうくらぶ,愛媛県松山市北条辻64,児童クラブ内×1,132.7787229,33.97545456
北条ふるさと館,ほうじょうふるさとかん,愛媛県松山市河野別府995,事務所×1,132.7801381,33.95869593
北条ふれあいセンター,ほうじょうふれあいせんたー,愛媛県松山市中西外346-3,玄関ロビー×1,132.7838359,33.96509686
北条南中学校,ほうじょうみなみちゅうがっこう,愛媛県松山市河野別府12,職員室×1、体育館×1、本館2階廊下×1,132.7813533,33.94604766
ほしふるテラス姫ヶ浜（姫ヶ浜荘）,ほしふるてらすひめがはま（ひめがはまそう）,愛媛県松山市長師68-1,事務室×1,132.6270153,33.95679766
堀江港休憩所,ほりえこうきゅうけいしょ,愛媛県松山市堀江町甲1742-13,休憩室×1,132.7497979,33.90735973
堀江公民館,ほりえこうみんかん,愛媛県松山市堀江町甲1400-1,玄関ロビー×1,132.7537645,33.90363932
堀江公民館東大栗分館,ほりえこうみんかんひがしおおぐりぶんかん,愛媛県松山市東大栗町780-1,放送室×1,132.7827479,33.90669735
堀江小学校,ほりえしょうがっこう,愛媛県松山市福角町甲1409-2,職員室×1、体育館×1、保健室×1,132.7583528,33.90221295
堀江第1児童クラブ,ほりえだいいちじどうくらぶ,愛媛県松山市福角町甲1280-5,児童クラブ内×1,132.7591399,33.90168463
堀江第2児童クラブ,ほりえだいにじどうくらぶ,愛媛県松山市福角町甲1409-2,児童クラブ内×1,132.7583128,33.90136745
堀江保育園,ほりえほいくえん,愛媛県松山市堀江町甲1654-9,事務室×1,132.7484776,33.90487824
本町団地,ほんまちだんち,愛媛県松山市山越町460-1 外,団地集会所×1,132.7570755,33.85566079
本町保育園,ほんまちほいくえん,愛媛県松山市山越町466-2,事務室×1,132.7581807,33.8561541
正岡公民館,まさおかこうみんかん,愛媛県松山市八反地甲90-1,玄関ロビー×1,132.7950925,33.97039729
正岡小学校,まさおかしょうがっこう,愛媛県松山市八反地甲160,職員玄関×1、体育館×1、保健室×1,132.7941831,33.96978997
まちっこ保育園,まちっこほいくえん,愛媛県松山市千舟町2丁目1-2,玄関内受付×1,132.7724837,33.83608807
松末南団地,まつすえみなみだんち,愛媛県松山市松末2丁目11-2 外,団地集会所×1,132.7875459,33.82530159
松ノ木団地,まつのきだんち,愛媛県松山市松ノ木1丁目6-25,2棟EV横×1,132.7179219,33.8682856
松山衛生ecoセンター,まつやまえいせいえこせんたー,愛媛県松山市北吉田町77-31,管理棟1階玄関×1,132.7015652,33.84345399
松山市急患医療センター,まつやましきゅうかんいりょうせんたー,愛媛県松山市萱町6丁目30-1,1階処置室×1,132.7573451,33.8525228
松山市公営企業局,まつやましこうえいきぎょうきょく,愛媛県松山市二番町4丁目4-6,1階ロビー階段付近×1,132.7670708,33.84005293
松山市公設水産地方卸売市場,まつやましこうせつすいさんちほうおろしうりしじょう,愛媛県松山市三津埠頭1-2,正門守衛室×1,132.7083582,33.86420459
松山市斎場,まつやましさいじょう,愛媛県松山市食場町甲2,松山市斎場事務所内×1,132.8231218,33.84981382
松山市児童発達支援センターひまわり園,まつやましじどうはったつしえんせんたーひまわりえん,愛媛県松山市水泥町368-1,1階スタッフ室×1,132.8181077,33.80228407
松山市消防局,まつやまししょうぼうきょく,愛媛県松山市本町6丁目6-1,中央署受付×1,132.7584464,33.85245882
松山市西部浄化センター,まつやましせいぶじょうかせんたー,愛媛県松山市南吉田町2798-80,中央監視室×1,132.6926782,33.82602588
松山市総合コミュニティセンター（温水プール）,まつやましそうごうこみゅにてぃせんたー（おんすいぷーる）,愛媛県松山市湊町7丁目5,事務室×1,132.7550787,33.83633652
松山市総合コミュニティセンター（企画展示ホール）,まつやましそうごうこみゅにてぃせんたー（きかくてんじほーる）,愛媛県松山市湊町7丁目5,事務室×1,132.7533009,33.83554355
松山市総合コミュニティセンター（キャメリアホール）,まつやましそうごうこみゅにてぃせんたー（きゃめりあほーる）,愛媛県松山市湊町7丁目5,ロビー×1,132.7554849,33.83543174
松山市総合コミュニティセンター（こども館･コスモシアター）,まつやましそうごうこみゅにてぃせんたー（こどもかんこすもしあたー）,愛媛県松山市湊町7丁目5,事務室×1,132.7542411,33.835499
松山市総合コミュニティセンター（体育館）,まつやましそうごうこみゅにてぃせんたー（たいいくかん）,愛媛県松山市湊町7丁目5,事務室×1,132.7550652,33.83633644
松山市総合コミュニティセンター（文化ホール事務所）,まつやましそうごうこみゅにてぃせんたー（ぶんかほーるじむしょ）,愛媛県松山市湊町7丁目5,事務室×1,132.755172,33.83569469
松山市総合福祉センター／老人福祉センター,まつやましそうごうふくしせんたー／ろうじんふくしせんたー,愛媛県松山市若草町8-2,1階社会福祉協議会事務所×1、2階松山市身体障害者福祉センター×1、3階老人福祉センター×1,132.7609928,33.84693988
松山市鷹子老人福祉センター,まつやましたかのころうじんふくしせんたー,愛媛県松山市鷹子町740,1階事務所前×1,132.8092604,33.81338425
松山市男女共同参画推進センター（コムズ）,まつやましだんじょきょうどうさんかくすいしんせんたー（こむず）,愛媛県松山市三番町6丁目4-20,1階受付×1,132.7594348,33.83817682
松山市中央卸売市場 中央市場,まつやましちゅうおうおろしうりしじょうちゅうおういちば,愛媛県松山市久万ノ台348-1,正門守衛室×1,132.7488588,33.8619058
松山市中央浄化センター,まつやましちゅうおうじょうかせんたー,愛媛県松山市南江戸4丁目1-1,中央監視室×1,132.7437651,33.83604049
松山市中島B&G海洋センター（体育館・プール）,まつやましなかじまびーあんどじーかいようせんたー（たいいくかんぷーる）,愛媛県松山市小浜甲1101-1,事務室×1,132.6289205,33.96677361
松山市中村老人福祉センター,まつやましなかむらろうじんふくしせんたー,愛媛県松山市中村3丁目2-34,1階事務所×1,132.7775665,33.83147588
松山市西クリーンセンター,まつやましにしくりーんせんたー,愛媛県松山市大可賀3丁目525-6,4階エレベーターホール×1、6階中央制御室内×1,132.7017149,33.84533069
松山市畑寺福祉センター,まつやましはたでらふくしせんたー,愛媛県松山市畑寺4丁目8-5,1階事務室×1,132.8046166,33.8252134
松山市北条市民会館,まつやましほうじょうしみんかいかん,愛媛県松山市北条辻6,1階ロビー×1,132.777372,33.97642132
松山市北条浄化センター,まつやましほうじょうじょうかせんたー,愛媛県松山市下難波甲1,中央監視室×1,132.7757405,33.98281228
松山市北部浄化センター,まつやましほくぶじょうかせんたー,愛媛県松山市和気町2丁目998,中央監視室×1,132.7352299,33.89566008
松山市北部福祉交流の家,まつやましほくぶふくしこうりゅうのいえ,愛媛県松山市安岡甲71-1,松山市北部福祉交流の家×1,132.7745022,33.93368625
松山市保健所（保健センター）,まつやましほけんしょ（ほけんせんたー）,愛媛県松山市萱町6丁目30-5,1階自動販売機コーナー付近×1,132.7577184,33.85243167
松山市保健センター南部分室,まつやましほけんせんたーなんぶぶんしつ,愛媛県松山市古川北3丁目8-20,事務室×1,132.7648657,33.81102303
松山市まちなか子育て・市民交流センター（てくるん）,まつやましまちなかこそだてしみんこうりゅうせんたー（てくるん）,愛媛県松山市大街道1丁目5-10,受付×1,132.770261,33.83722011
松山市南クリーンセンター,まつやましみなみくりーんせんたー,愛媛県松山市市坪西町1000-1,管理棟2階事務所×1,132.7387279,33.80663447
松山市民会館,まつやましみんかいかん,愛媛県松山市堀之内,大ホールスタッフ控え室×1、事務所内×1,132.7610152,33.84091617
松山市役所（第四別館）,まつやましやくしょ（だいよんべっかん）,愛媛県松山市三番町6丁目6-1,1階エレベーターホール×1,132.7604264,33.83799731
松山市役所（別館）,まつやましやくしょ（べっかん）,愛媛県松山市二番町4丁目7-2,1階西側入口×1,132.7651996,33.8396995
松山市役所（本館）,まつやましやくしょ（ほんかん）,愛媛県松山市二番町4丁目7-2,1階南側入り口×1,132.765656,33.83920664
松山市湯山福祉センター,まつやましゆやまふくしせんたー,愛媛県松山市末町乙50-6,1階事務所×1,132.8222571,33.86507572
松山城（天守広場）,まつやまじょう（てんしゅひろば）,愛媛県松山市丸之内1,きっぷ売り場×1,132.7658871,33.84507121
松山城長者ケ平,まつやまじょうちょうじゃがなる,愛媛県松山市丸之内2,ロープウェイ・リフト待合所×1,132.7682446,33.84420056
松山城二之丸史跡庭園,まつやまじょうにのまるしせきていえん,愛媛県松山市丸之内5,事務所×1,132.7639233,33.84277585
松山市立埋蔵文化財センター,まつやましりつまいぞうぶんかざいせんたー,愛媛県松山市南斎院町乙67-6,1階エントランス受付×1,132.7353454,33.83968568
松山城山ロープウェイ東雲口駅舎,まつやましろやまろーぷうぇいしののめくちえきしゃ,愛媛県松山市大街道3丁目2-46,駅舎1階×1,132.7719174,33.84469656
松山赤十字病院院内託児所,まつやませきじゅうじびょういんいんないたくじしょ,愛媛県松山市文京町1,託児所事務室×1,132.7743344,33.84839945
松山総合公園管理棟,まつやまそうごうこうえんかんりとう,愛媛県松山市朝日ヶ丘1丁目,2階総合公園分室×1,132.7377476,33.84414404
松山中央公園（坊っちゃんスタジアム）,まつやまちゅうおうこうえん（ぼっちゃんすたじあむ）,愛媛県松山市市坪西町625-1,事務室×1,132.7474301,33.80940067
松山中央公園（坊っちゃんスタジアム）スポーツフロアー,まつやまちゅうおうこうえん（ぼっちゃんすたじあむ）すぽーつふろあー,愛媛県松山市市坪西町625-1,ロビー×1,132.7474597,33.80755819
松山中央公園（マドンナスタジアム）,まつやまちゅうおうこうえん（まどんなすたじあむ）,愛媛県松山市市坪西町625-1,ロビー×1,132.7480889,33.81130028
松山中央公園インフォメーションセンター,まつやまちゅうおうこうえんいんふぉめーしょんせんたー,愛媛県松山市市坪西町625-1,ロビー×1,132.7452774,33.80931426
松山中央公園屋内運動場,まつやまちゅうおうこうえんおくないうんどうじょう,愛媛県松山市市坪西町625-1,ロビー×1,132.7485859,33.80996646
松山中央公園多目的競技場（瀬戸風バンク）,まつやまちゅうおうこうえんたもくてききょうぎじょう（せとかぜばんく）,愛媛県松山市市坪西町796-6,2階インフォメーション前×1、東サイドスタンド1階医務室内×1,132.7422679,33.80873213
松山中央公園プール（アクアパレットまつやま）,まつやまちゅうおうこうえんぷーる（あくあぱれっとまつやま）,愛媛県松山市市坪西町625-1,屋内プール監視員室内×1・屋外プール監視員室内×1,132.746965,33.81107528
松山中央乳児保育園,まつやまちゅうおうにゅうじほいくえん,愛媛県松山市三番町8丁目326-1,職員室×1,132.7531376,33.83783592
松山認定こども園 和泉 和泉保育園,まつやまにんていこどもえんいずみいずみほいくえん,愛媛県松山市和泉北1丁目20-18,医務室×1,132.7616394,33.82542889
松山認定こども園 コイノニア幼稚園 リベカ清水保育園,まつやまにんていこどもえんこいのにあようちえんりべかしみずほいくえん,愛媛県松山市清水町2丁目19-8,事務室×1,132.7626182,33.85071112
松山認定こども園 星岡,まつやまにんていこどもえんほしおか,愛媛県松山市星岡2丁目22-7,医務室（2号棟）×1,132.7839609,33.81951303
